id,age,gender,customer_longevity,customer_satisfaction_score,net_promoter_score,customer_effort_score
1001,27,M,2,5,3,9
1002,19,M,1,4,2,5
1003,41,M,3,8,6,4
1004,48,F,3,4,3,9
1005,26,M,2,6,4,8
1006,36,M,3,.,4,9
1007,18,F,1,6,4,7
1008,61,M,3,7,5,6
1009,40,M,3,5,3,8
1010,30,F,2,.,1,5
1011,32,M,2,8,5,4
1012,31,M,2,5,2,9
1013,29,M,2,9,8,4
1014,21,F,0,.,.,.
1015,22,F,1,7,4,8
1016,18,M,1,6,3,8
1017,25,M,2,5,4,7
1018,35,M,3,6,4,8
1019,23,F,1,6,4,6
1020,35,M,3,8,4,6
1021,24,M,1,8,5,6
1022,24,M,1,.,4,4
1023,26,M,2,6,4,1
1024,55,F,1,5,2,9
1025,21,F,1,7,4,7
1026,35,M,3,.,4,8
1027,59,M,3,6,3,9
1028,27,M,2,6,4,7
1029,46,M,2,.,3,9
1030,72,M,3,7,5,8
1031,41,M,3,8,4,4
1032,29,M,2,7,4,9
1033,29,F,2,.,4,9
1034,19,F,1,7,5,7
1035,61,F,1,6,4,8
1036,47,M,1,4,4,10
1037,45,M,2,8,6,9
1038,41,M,0,.,.,.
1039,31,F,2,8,5,8
1040,43,M,3,7,4,6
1041,42,M,3,6,4,8
1042,49,F,2,4,2,10
1043,42,M,3,6,4,2
1044,60,M,3,7,3,8
1045,36,M,3,7,4,8
1046,33,M,2,6,3,7
1047,32,M,2,6,4,6
1048,23,M,2,.,3,10
1049,38,M,3,7,5,8
1050,33,F,2,6,4,7
1051,39,M,3,5,3,10
1052,56,F,2,6,3,9
1053,19,F,1,6,4,7
1054,57,M,3,8,4,8
1055,41,M,3,7,3,7
1056,18,F,1,7,4,7
1057,19,F,1,4,1,5
1058,23,F,1,6,3,9
1059,33,F,2,7,4,8
1060,40,M,3,6,4,6
1061,51,F,1,6,4,8
1062,24,F,1,6,3,7
1063,35,F,0,.,.,.
1064,31,F,2,7,5,8
1065,50,M,3,4,3,9
1066,40,M,.,.,.,.
1067,40,M,3,6,4,10
1068,22,F,1,8,4,8
1069,28,M,2,6,4,10
1070,31,M,3,6,3,9
1071,53,F,3,.,3,9
1072,22,F,1,6,4,5
1073,58,M,1,6,3,10
1074,28,M,2,8,5,8
1075,36,M,2,6,2,8
1076,28,M,2,9,8,6
1077,21,F,1,6,5,7
1078,37,M,3,8,4,6
1079,26,M,2,7,5,6
1080,25,M,2,6,4,8
1081,40,M,2,6,4,9
1082,58,M,1,5,2,10
1083,18,M,1,3,1,8
1084,40,F,1,6,1,4
1085,46,M,.,.,.,.
1086,42,F,.,.,.,.
1087,44,F,2,7,4,2
1088,56,M,.,.,.,.
1089,47,F,3,10,9,1
1090,44,M,2,9,3,4
1091,31,M,3,10,7,3
1092,43,F,1,4,1,5
1093,46,F,3,8,4,6
