no,time,city,brand,production_year,color,km,body_condition,engine_condition,chassis_condition,insurance_time_to_expire,gearbox,fuel_type,price
1,3/26/2022,Tehran,PEUGEOT 405 GLX GAS,1393,نقره ای,80000,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,gasoline,187000000
2,3/5/2022,Tehran,PEUGEOT 206 SD V8,1393,سفید,85000,خط و خش جزیی,سالم,سالم و پلمپ,4,دنده ای,gasoline,215000000
3,3/26/2022,Tehran,PEUGEOT 206 Type 2,1397,سفید,46000,خط و خش جزیی,سالم,سالم و پلمپ,12,دنده ای,gasoline,220000000
4,3/19/2022,Tehran,PEUGEOT 207i AUTOMATIC,1390,سفید,165000,سالم و بی خط و خش,سالم,سالم و پلمپ,5,اتوماتیک,gasoline,275000000
5,3/19/2022,Tehran,PEUGEOT 207i MANUAL,1396,سفید,50000,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,310000000
6,4/2/2022,Tehran,PEUGEOT 405 GLX CNG,1398,خاکستری,10000,خط و خش جزیی,سالم,سالم و پلمپ,9,دنده ای,CNG,268000000
7,3/12/2022,Tehran,PEUGEOT 206 Type 2,1396,سفید,130000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,220000000
8,3/26/2022,Tehran,PEUGEOT 405 GLX GAS,1395,مشکی,115000,خط و خش جزیی,سالم,سالم و پلمپ,11,دنده ای,gasoline,178000000
9,3/26/2022,Tehran,PEUGEOT 207i SD AUTOMATIC,1398,خاکستری,0,سالم و بی خط و خش,سالم,سالم و پلمپ,5,اتوماتیک,gasoline,490000000
10,3/19/2022,Tehran,PEUGEOT 206 Type 2,1385,نوک مدادی,60000,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,gasoline,127000000
11,3/19/2022,Tehran,PEUGEOT 207i AUTOMATIC,1400,مشکی,8000,سالم و بی خط و خش,سالم,سالم و پلمپ,2,اتوماتیک,gasoline,500000000
12,3/12/2022,Tehran,PEUGEOT PARS SADE,1389,سفید,360000,خط و خش جزیی,سالم,سالم و پلمپ,8,دنده ای,gasoline,160000000
13,4/2/2022,Tehran,PEUGEOT 206 Type 2,1400,قرمز,0,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,275000000
14,3/12/2022,Tehran,PEUGEOT 405 GLX CNG,1387,نقره ای,170000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,1,دنده ای,CNG,130000000
15,3/12/2022,Tehran,PEUGEOT 206 Type 5,1393,خاکستری,230000,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,210000000
16,4/2/2022,Tehran,PEUGEOT 405 SLX GAS,1399,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,2,دنده ای,gasoline,290000000
17,3/30/2022,Tehran,PEUGEOT 206 Type 2,1398,سفید,56150,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,gasoline,233000000
18,3/19/2022,Tehran,PEUGEOT PARS SADE,1393,سفید,120000,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,195000000
19,3/12/2022,Tehran,PEUGEOT 207i AUTOMATIC,1397,سفید,45000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,اتوماتیک,gasoline,390000000
20,3/12/2022,Tehran,PEUGEOT 207i AUTOMATIC,1396,سفید,48000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,اتوماتیک,gasoline,380000000
21,4/2/2022,Tehran,PEUGEOT 2008,1396,سفید صدفی,70000,سالم و بی خط و خش,سالم,سالم و پلمپ,8,اتوماتیک,gasoline,845000000
22,3/19/2022,Tehran,PEUGEOT 405 SLX GAS,1395,سفید,134,سالم و بی خط و خش,سالم,سالم و پلمپ,1,دنده ای,gasoline,225000000
23,3/12/2022,Tehran,PEUGEOT 206 SD V20,1388,خاکستری,160000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,10,دنده ای,gasoline,155000000
24,3/12/2022,Tehran,PEUGEOT 207i PANAROMA MANUAL,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,361000000
25,3/12/2022,Tehran,PEUGEOT 206 SD V1,1389,مشکی,258000,خط و خش جزیی,سالم,سالم و پلمپ,6,دنده ای,gasoline,158000000
26,3/29/2022,Tehran,PEUGEOT PARS SADE,1379,بژ,52000,دوررنگ,سالم,سالم و پلمپ,9,دنده ای,gasoline,95000000
27,3/12/2022,Tehran,PEUGEOT PARS LX TU5,1400,نقره ای,5000,سالم و بی خط و خش,سالم,سالم و پلمپ,4,دنده ای,gasoline,312000000
28,3/12/2022,Tehran,PEUGEOT 206 Type 2,1394,سفید,74000,سالم و بی خط و خش,سالم,سالم و پلمپ,11,دنده ای,gasoline,196500000
29,3/27/2022,Tehran,PEUGEOT 206 Type 5,1399,خاکستری,0,سالم و بی خط و خش,سالم,سالم و پلمپ,3,دنده ای,gasoline,315000000
30,3/12/2022,Tehran,PEUGEOT 206 Type 2,1396,سفید,167000,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,208000000
31,3/19/2022,Tehran,PEUGEOT RD GAS,1380,سفید,200000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,6,دنده ای,gasoline,42000000
32,3/12/2022,Tehran,PEUGEOT 207i PANAROMA MANUAL,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,372000000
33,3/5/2022,Tehran,PEUGEOT 207i MANUAL,1399,نوک مدادی,25000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,330000000
34,3/29/2022,Tehran,PEUGEOT PARS SAL,1395,سفید,72500,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,225000000
35,3/12/2022,Tehran,PEUGEOT 206 Type 5,1391,سفید,238000,خط و خش جزیی,سالم,سالم و پلمپ,6,دنده ای,gasoline,190000000
36,3/5/2022,Tehran,PEUGEOT 405 GLX GAS,1389,نقره ای,307517,خط و خش جزیی,سالم,سالم و پلمپ,8,دنده ای,gasoline,107000000
37,3/12/2022,Tehran,PEUGEOT PARS HYBRID,1389,خاکستری,280000,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,hybrid,155000000
38,4/2/2022,Tehran,PEUGEOT 405 GL PLG,1390,زرد,168000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,12,دنده ای,gasoline,128000000
39,3/5/2022,Tehran,PEUGEOT 206 SD V8,1395,سفید,180000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,4,دنده ای,gasoline,213000000
40,3/12/2022,Tehran,PEUGEOT 405 GL CNG,1394,نقره ای,103000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,6,دنده ای,CNG,173000000
41,3/5/2022,Tehran,PEUGEOT 405 GLX CNG,1394,نقره ای,148000,خط و خش جزیی,سالم,سالم و پلمپ,6,دنده ای,CNG,175000000
42,3/12/2022,Tehran,PEUGEOT 206 Type 5,1399,مشکی,24000,سالم و بی خط و خش,سالم,سالم و پلمپ,5,دنده ای,gasoline,320000000
43,3/5/2022,Tehran,PEUGEOT PARS AUTOMATIC TU5,1390,سفید,200000,خط و خش جزیی,سالم,سالم و پلمپ,6,اتوماتیک,gasoline,235000000
44,3/12/2022,Tehran,PEUGEOT 206 Type 5,1396,سفید,130000,رنگ شدگی در ۳ ناحیه,سالم,سالم و پلمپ,5,دنده ای,gasoline,210000000
45,3/26/2022,Tehran,PEUGEOT 206 Type 5,1395,سفید,100000,خط و خش جزیی,سالم,سالم و پلمپ,3,دنده ای,gasoline,230000000
46,3/12/2022,Tehran,PEUGEOT 206 SD V8,1392,سفید,219000,خط و خش جزیی,سالم,سالم و پلمپ,6,دنده ای,gasoline,196000000
47,3/30/2022,Tehran,PEUGEOT 405 GLX GAS,1398,خاکستری,24500,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,10,دنده ای,gasoline,230000000
48,3/29/2022,Tehran,PEUGEOT 405 GLX GAS,1396,خاکستری,103000,خط و خش جزیی,سالم,سالم و پلمپ,10,دنده ای,gasoline,188000000
49,3/5/2022,Tehran,PEUGEOT 405 GLX GAS,1391,نقره ای,46620,خط و خش جزیی,سالم,سالم و پلمپ,9,دنده ای,gasoline,165000000
50,3/26/2022,Tehran,PEUGEOT RD GAS,1382,عدسی,260000,خط و خش جزیی,سالم,سالم و پلمپ,12,دنده ای,gasoline,43000000
51,3/29/2022,Tehran,PEUGEOT RD GAS,1385,یشمی,130000,تمام رنگ,سالم,سالم و پلمپ,1,دنده ای,gasoline,55000000
52,3/5/2022,Tehran,PEUGEOT PARS LX TU5,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,334000000
53,3/19/2022,Tehran,PEUGEOT ROA HYBRID,1387,نقره ای,366453,خط و خش جزیی,سالم,سالم و پلمپ,10,دنده ای,hybrid,65000000
54,3/26/2022,Tehran,PEUGEOT 405 GLX GAS,1398,خاکستری,44000,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,gasoline,235000000
55,3/19/2022,Tehran,PEUGEOT 207i AUTOMATIC,1399,سفید,22000,سالم و بی خط و خش,سالم,سالم و پلمپ,5,اتوماتیک,gasoline,445000000
56,3/12/2022,Tehran,PEUGEOT 207i MANUAL,1396,مشکی,54000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,6,دنده ای,gasoline,270000000
57,3/12/2022,Tehran,PEUGEOT 206 SD V8,1399,سفید,12000,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,295000000
58,3/12/2022,Tehran,PEUGEOT 206 Type 2,1387,نوک مدادی,293563,خط و خش جزیی,سالم,سالم و پلمپ,10,دنده ای,gasoline,112000000
59,3/5/2022,Tehran,PEUGEOT 207i AUTOMATIC,1397,سفید,60000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,اتوماتیک,gasoline,440000000
60,3/19/2022,Tehran,PEUGEOT 206 Type 2,1396,خاکستری,85000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,206000000
61,3/12/2022,Tehran,PEUGEOT PARS LX TU5,1400,سفید,27000,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,320000000
62,3/19/2022,Tehran,PEUGEOT 206 Type 5,1397,سفید,31000,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,gasoline,275000000
63,3/12/2022,Tehran,PEUGEOT 405 SLX GAS,1394,خاکستری,166000,خط و خش جزیی,سالم,سالم و پلمپ,12,دنده ای,gasoline,210000000
64,3/19/2022,Tehran,PEUGEOT 405 GLX LPG,1382,مشکی,340000,تمام رنگ,سالم,سالم و پلمپ,11,دنده ای,LPG,70000000
65,4/2/2022,Tehran,PEUGEOT 206 Type 2,1398,سفید,42000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,5,دنده ای,gasoline,225000000
66,3/12/2022,Tehran,PEUGEOT 206 Type 5,1395,سفید,180000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,12,دنده ای,gasoline,205000000
67,3/5/2022,Tehran,PEUGEOT 206 Type 2,1397,سفید,90000,صافکاری بی رنگ، در ۲ ناحیه,سالم,سالم و پلمپ,6,دنده ای,gasoline,210000000
68,3/5/2022,Tehran,PEUGEOT PARS SAL,1395,نوک مدادی,170000,دوررنگ,سالم,سالم و پلمپ,5,دنده ای,gasoline,185000000
69,3/12/2022,Tehran,PEUGEOT PARS LX TU5,1400,نقره ای,5000,سالم و بی خط و خش,سالم,سالم و پلمپ,4,دنده ای,gasoline,312000000
70,3/27/2022,Tehran,PEUGEOT 207i PANAROMA AUTOMATIC,1400,سفید,4000,سالم و بی خط و خش,سالم,سالم و پلمپ,3,اتوماتیک,gasoline,525000000
71,3/12/2022,Tehran,PEUGEOT ROA HYBRID,1386,نقرآبی,119000,خط و خش جزیی,سالم,سالم و پلمپ,7,دنده ای,hybrid,90000000
72,3/19/2022,Tehran,PEUGEOT 405 GLX CNG,1386,نقره ای,355000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,12,دنده ای,CNG,115000000
73,3/30/2022,Tehran,PEUGEOT PARS SADE,1395,سفید صدفی,120000,خط و خش جزیی,سالم,سالم و پلمپ,5,دنده ای,gasoline,230000000
74,3/5/2022,Tehran,PEUGEOT 207i PANAROMA MANUAL,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,365000000
75,3/12/2022,Tehran,PEUGEOT 206 Type 5,1395,سفید,125000,خط و خش جزیی,سالم,سالم و پلمپ,7,دنده ای,gasoline,235000000
76,4/2/2022,Tehran,PEUGEOT 206 Type 5,1396,سفید,60000,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,249000000
77,3/12/2022,Tehran,PEUGEOT 206 SD V8,1398,سفید,62000,خط و خش جزیی,سالم,سالم و پلمپ,12,دنده ای,gasoline,293000000
78,3/12/2022,Tehran,PEUGEOT 405 GLX CNG,1397,خاکستری,90000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,12,دنده ای,CNG,221000000
79,3/5/2022,Tehran,PEUGEOT PARS SAL,1398,سفید,9000,سالم و بی خط و خش,سالم,سالم و پلمپ,1,دنده ای,gasoline,260000000
80,3/19/2022,Tehran,PEUGEOT 405 GLX GAS,1396,خاکستری,50000,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,191000000
81,3/5/2022,Tehran,PEUGEOT 405 GLX GAS,1398,خاکستری,7500,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,240000000
82,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1398,دلفینی,38000,سالم و بی خط و خش,سالم,سالم و پلمپ,8,دنده ای,gasoline,232000000
83,3/5/2022,Tehran,PEUGEOT 206 SD V9,1388,نقره ای,118350,خط و خش جزیی,سالم,سالم و پلمپ,3,اتوماتیک,gasoline,199000000
84,3/26/2022,Tehran,PEUGEOT PARS LX TU5,1400,مشکی,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,338000000
85,3/26/2022,Tehran,PEUGEOT 207i AUTOMATIC,1397,سفید,69000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,اتوماتیک,gasoline,385000000
86,3/19/2022,Tehran,PEUGEOT 206 Type 2,1382,نقره ای,260000,خط و خش جزیی,سالم,سالم و پلمپ,3,دنده ای,gasoline,94000000
87,3/5/2022,Tehran,PEUGEOT 405 GLX GAS,1397,خاکستری,65000,سالم و بی خط و خش,سالم,سالم و پلمپ,2,دنده ای,gasoline,220000000
88,3/5/2022,Tehran,PEUGEOT 405 GLX CNG,1398,زرد,33800,خط و خش جزیی,سالم,سالم و پلمپ,4,دنده ای,CNG,200000000
89,3/5/2022,Tehran,PEUGEOT 206 Type 5,1395,سفید,127000,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,230000000
90,3/19/2022,Tehran,PEUGEOT 207i PANAROMA AUTOMATIC,1400,مشکی,5277,سالم و بی خط و خش,سالم,سالم و پلمپ,6,اتوماتیک,gasoline,535000000
91,3/29/2022,Tehran,PEUGEOT RD CNG,1382,یشمی,238000,خط و خش جزیی,سالم,سالم و پلمپ,12,دنده ای,CNG,67000000
92,3/28/2022,Tehran,PEUGEOT PARS LX TU5,1399,سفید صدفی,20000,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,315000000
